id,best,avg,entryyear,modul,weighted ,degree,between,pagerank,cluster
125549,16,29.7,2002,6,9.7981270369,7,1066.4579321181,0.00222929,0.2857142857
125802,28,52.5,2008,6,15.9684348764,5,25.0986794266,0.0016205486,0.7
1268,1,25.272728,1997,3,21.4886911108,20,1965.7524112032,0.0046390557,0.1526315789
1271910,67,72.5,2011,2,26.3260093247,11,35.5968839769,0.0024150238,0.7454545455
1289,22,46.4,2007,0,3.5835189385,4,4.8418361878,0.0010862075,0.5
128973,16,16,2004,0,0,0,0,0.0003438001,0
1298568,52,52,2018,6,6.3561076607,6,509.7518212437,0.0019082805,0.2
13017,30,60,1999,0,0,0,0,0.0003438001,0
130802,98,98,2009,3,6.3561076607,7,551.154670729,0.0021152066,0.0952380952
1328,23,48.785713,1997,3,16.7941373636,19,1425.6431953695,0.0042199196,0.1988304094
1328640,30,34.5,2015,8,22.6363221611,19,383.4761886234,0.0041016396,0.350877193
13311,6,29.09091,2001,0,1.3862943611,1,0,0.0009109855,0
1343482,86,86,2015,0,0,0,0,0.0003438001,0
13451,64,77.666664,1997,0,0,0,0,0.0003438001,0
13453,86,86,2004,0,0,0,0,0.0003438001,0
1346359,52,52,2016,6,0.6931471806,1,0,0.0005927913,0
1348086,75,79,2012,2,20.0184670392,12,247.6434261018,0.0025700225,0.6515151515
135575,32,49.333332,2009,8,27.054243672,18,2957.429582093,0.0038356938,0.1699346405
1360,50,71.6,2003,3,11.7677537126,13,1005.5258371684,0.0033378719,0.3717948718
13734,55,73.25,2004,0,8.553332238,8,249.8350568915,0.0021310998,0.2142857143
13754,22,51.833332,1997,0,5.0875963352,5,30.9944590904,0.0014201752,0.5
1379,69,69,1999,4,8.0300840943,10,452.2172259912,0.0023604509,0.1111111111
1381,53,82.666664,2004,3,21.084354516,17,1250.8100407465,0.0041632076,0.2573529412
13834,28,49.4,2005,6,6.3561076607,4,19.7523682397,0.0013809361,0.3333333333
13864,74,74,2005,6,11.1642186907,7,314.9833586409,0.00235762,0.1904761905
1387101,77,77,2018,0,0,0,0,0.0003438001,0
1389507,100,100,2008,6,6.3561076607,4,19.7384768572,0.0014174989,0.1666666667
1398,77,85.5,2002,1,20.5442295019,17,2292.9574219019,0.003958306,0.2058823529
14009,24,41.5,2002,6,22.9671984123,15,1353.9047791496,0.0043181916,0.2095238095
1402603,75,85,2012,0,0,0,0,0.0003438001,0
1411,58,73.75,2007,0,0,0,0,0.0003438001,0
1414357,54,68.666664,2016,0,0,0,0,0.0003438001,0
142,12,24.285715,1997,0,34.2241265011,26,1364.3428394106,0.0056615709,0.2153846154
143244,77,80.5,2006,6,2.7080502011,2,6.8570465836,0.0009587707,0
1437686,25,50.6,2014,8,14.9331408525,9,185.9610287884,0.0021415535,0.3333333333
14412,44,74.833336,2004,6,4.276666119,3,68.951626984,0.0011441825,0
1441341,1,16.5,2011,8,36.5367619299,24,1862.1900977528,0.0049998675,0.2463768116
145561,96,96,2012,6,7.6778635007,7,1115.2462087143,0.0024332051,0.1428571429
1456097,41,61.666668,2014,0,0,0,0,0.0003438001,0
14602,9,31.181818,2005,7,6.5102583405,6,505.8321959306,0.0018272322,0.2666666667
1462098,16,31.571428,2012,8,24.5515626871,20,576.6260886773,0.0043150986,0.3578947368
1462131,25,57.4,2010,6,8.119696253,5,456.3111692351,0.0019730494,0.2
146906,92,92,2011,4,19.8288461799,11,1166.169282977,0.0024828823,0.3090909091
1472585,9,13,2011,8,2.0794415417,3,0.6,0.0010105429,0.6666666667
1474921,44,47.666668,2015,8,9.6519445267,9,230.7397835055,0.0020548472,0.4444444444
14803,67,67,1998,0,0,0,0,0.0003438001,0
148330,39,48.2,2014,0,0,0,0,0.0003438001,0
